path,label_original,resolution,height,width,class,category,type,label,abs_path,max_live_sim,paired_live_path,x1,y1,x2,y2
Data-train/21528.png,0_0_0,194x194,194,194,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21528.png,,,32,21,161,175
Data-train/21529.png,0_0_0,431x431,431,431,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21529.png,,,80,42,365,373
Data-train/21531.png,0_0_0,221x221,221,221,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21531.png,,,42,23,176,194
Data-train/21532.png,0_0_0,267x267,267,267,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21532.png,,,49,25,225,240
Data-train/21533.png,0_0_0,484x484,484,484,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21533.png,,,94,46,403,423
Data-train/21534.png,0_0_0,749x749,749,749,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21534.png,,,151,62,586,678
Data-train/21535.png,0_0_0,493x493,493,493,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21535.png,,,93,44,406,441
Data-train/21536.png,0_0_0,501x501,501,501,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21536.png,,,112,73,397,416
Data-train/21537.png,0_0_0,573x573,573,573,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21537.png,,,108,45,455,485
Data-train/21540.png,0_0_0,472x472,472,472,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21540.png,,,91,39,400,409
Data-train/21541.png,0_0_0,233x233,233,233,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21541.png,,,45,23,182,209
Data-train/21542.png,0_0_0,564x564,564,564,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21542.png,,,129,34,535,542
Data-train/21543.png,0_0_0,319x319,319,319,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21543.png,,,51,26,262,284
Data-train/21544.png,0_0_0,1216x1216,1216,1216,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21544.png,,,87,0,1077,1182
Data-train/21545.png,0_0_0,1272x1272,1272,1272,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21545.png,,,252,131,1054,1107
Data-train/21546.png,0_0_0,634x634,634,634,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21546.png,,,156,98,496,544
Data-train/21549.png,0_0_0,181x181,181,181,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21549.png,,,25,15,148,160
Data-train/21550.png,0_0_0,477x477,477,477,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21550.png,,,93,75,389,416
Data-train/21551.png,0_0_0,175x175,175,175,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21551.png,,,31,10,143,150
